timestamp,pressure_mBar,mh20_m,conductivity_raw_V,temperature_C,battery_V,rssi_dBm,temperature_logger_C,pressure_logger_mBar,voltage_logger_V
2025-01-25 15:09:07,21100.1005859375,201.6965478515625,0.563,-1.1999999999999957,3.995,-86.0,-5.691598892211914,930.44580078125,9.7528
2025-01-25 14:09:07,21106.2041015625,201.76093383789063,0.561,-1.1999999999999957,3.995,-86.0,-5.720876693725586,930.1107177734375,12.1677
2025-01-14 16:09:19,21798.953125,208.46761779785157,0.666,-1.1999999999999957,3.995,-84.0,-18.292211532592773,952.1913452148438,14.377600000000001
2025-01-13 15:39:20,21930.1787109375,209.70301025390626,0.567,-1.1999999999999957,3.995,-83.0,-15.66931438446045,959.877685546875,14.537500000000001
2025-01-11 16:09:22,22064.4560546875,211.01063110351564,0.6,-1.25,3.999,-84.0,-14.045500755310059,963.3929443359375,14.3899
2024-12-10 19:09:55,23926.0283203125,229.53224853515624,0.874,-1.1999999999999957,4.002,-92.0,-11.911003112792969,972.803466796875,8.658100000000001
2024-12-10 18:09:56,23929.080078125,229.56436767578126,0.874,-1.1999999999999957,4.002,-93.0,-11.224797248840332,972.643310546875,9.2444
2024-12-10 17:09:56,23926.0283203125,229.53818725585938,0.873,-1.1999999999999957,4.002,-92.0,-9.682903289794922,972.2095947265625,9.834800000000001
2024-12-10 16:09:56,23935.18359375,229.6340173339844,0.873,-1.1999999999999957,4.002,-93.0,-8.176875114440918,971.7818603515625,9.7774
2024-12-10 15:09:56,23941.287109375,229.68732421875,0.874,-1.1999999999999957,4.002,-93.0,-7.955021858215332,972.5546875,9.8717
2024-12-10 14:09:56,23941.287109375,229.67309326171875,0.873,-1.25,4.002,-93.0,-8.168723106384277,973.977783203125,9.7446
2024-12-10 13:09:56,23950.4423828125,229.75268249511717,0.874,-1.1999999999999957,4.002,-93.0,-7.831528186798096,975.1741333007812,10.7942
2024-12-10 12:09:56,23941.287109375,229.66117248535156,0.874,-1.25,4.002,-93.0,-7.395908355712891,975.1698608398438,10.7163
2024-12-10 11:09:56,23950.4423828125,229.7459881591797,0.874,-1.1999999999999957,4.002,-93.0,-7.5107741355896,975.8435668945312,11.401000000000002
